"Luni","Curs_USD_EUR"
"Luna iunie 2014","1.3595"
"Luna iulie 2014","1.3533"
"Luna august 2014","1.3315"
"Luna septembrie 2014","1.2889"
"Luna octombrie 2014","1.2677"
"Luna noiembrie 2014","1.2472"
"Luna decembrie 2014","1.2329"
"Luna ianuarie 2015","1.1615"
"Luna februarie 2015","1.135"
"Luna martie 2015","1.0819"
"Luna aprilie 2015","1.0822"
"Luna mai 2015","1.1167"
"Luna iunie 2015","1.1226"
"Luna iulie 2015","1.0997"
"Luna august 2015","1.1136"
"Luna septembrie 2015","1.1229"
"Luna octombrie 2015","1.1228"
"Luna noiembrie 2015","1.0727"
"Luna decembrie 2015","1.0889"
"Luna ianuarie 2016","1.0855"
"Luna februarie 2016","1.1092"
"Luna martie 2016","1.1134"
"Luna aprilie 2016","1.1346"
"Luna mai 2016","1.1312"
"Luna iunie 2016","1.1232"
"Luna iulie 2016","1.1055"
"Luna august 2016","1.1207"
"Luna septembrie 2016","1.1218"
"Luna octombrie 2016","1.1014"
"Luna noiembrie 2016","1.0792"
"Luna decembrie 2016","1.0545"
"Luna ianuarie 2017","1.0635"
"Luna februarie 2017","1.065"
"Luna martie 2017","1.0691"
"Luna aprilie 2017","1.0714"
"Luna mai 2017","1.105"
"Luna iunie 2017","1.1233"
"Luna iulie 2017","1.153"
"Luna august 2017","1.1813"
"Luna septembrie 2017","1.1913"
"Luna octombrie 2017","1.1755"
"Luna noiembrie 2017","1.1743"
"Luna decembrie 2017","1.1836"
"Luna ianuarie 2018","1.2197"
"Luna februarie 2018","1.234"
"Luna martie 2018","1.2334"
"Luna aprilie 2018","1.227"
"Luna mai 2018","1.1823"
"Luna iunie 2018","1.1679"
"Luna iulie 2018","1.1685"
"Luna august 2018","1.1547"
"Luna septembrie 2018","1.1667"
"Luna octombrie 2018","1.1488"
"Luna noiembrie 2018","1.1364"
"Luna decembrie 2018","1.138"
"Luna ianuarie 2019","1.1418"
"Luna februarie 2019","1.1349"
"Luna martie 2019","1.1296"
"Luna aprilie 2019","1.1234"
"Luna mai 2019","1.1187"
"Luna iunie 2019","1.1295"
"Luna iulie 2019","1.1211"
"Luna august 2019","1.1129"
"Luna septembrie 2019","1.1011"
"Luna octombrie 2019","1.1058"
"Luna noiembrie 2019","1.1051"
"Luna decembrie 2019","1.1114"
"Luna ianuarie 2020","1.1098"
"Luna februarie 2020","1.0911"
"Luna martie 2020","1.1046"
"Luna aprilie 2020","1.0871"
"Luna mai 2020","1.0907"
"Luna iunie 2020","1.1259"
"Luna iulie 2020","1.1488"
"Luna august 2020","1.1831"
"Luna septembrie 2020","1.1785"
"Luna octombrie 2020","1.1768"
"Luna noiembrie 2020","1.1826"
"Luna decembrie 2020","1.2168"
"Luna ianuarie 2021","1.2178"
"Luna februarie 2021","1.2094"
"Luna martie 2021","1.1902"
"Luna aprilie 2021","1.1965"
"Luna mai 2021","1.2146"
"Luna iunie 2021","1.2048"
"Luna iulie 2021","1.1821"
"Luna august 2021","1.1767"
"Luna septembrie 2021","1.1765"
"Luna octombrie 2021","1.16"
"Luna noiembrie 2021","1.1416"
"Luna decembrie 2021","1.1301"
"Luna ianuarie 2022","1.1317"
"Luna februarie 2022","1.1349"
"Luna martie 2022","1.1019"
"Luna aprilie 2022","1.0803"
"Luna mai 2022","1.0567"
"Luna iunie 2022","1.0567"
"Luna iulie 2022","1.0168"
"Luna august 2022","1.0129"
"Luna septembrie 2022","0.9899"
"Luna octombrie 2022","0.9853"
"Luna noiembrie 2022","1.0192"
"Luna decembrie 2022","1.0591"
"Luna ianuarie 2023","1.0777"
"Luna februarie 2023","1.0702"
"Luna martie 2023","1.0711"
"Luna aprilie 2023","1.0962"
"Luna mai 2023","1.0867"
"Luna iunie 2023","1.084"
"Luna iulie 2023","1.1067"
"Luna august 2023","1.091"
"Luna septembrie 2023","1.0672"
"Luna octombrie 2023","1.0565"
"Luna noiembrie 2023","1.0819"
"Luna decembrie 2023","1.0909"
"Luna ianuarie 2024","1.0899"
"Luna februarie 2024","1.0793"
"Luna martie 2024","1.087"
"Luna aprilie 2024","1.0724"
"Luna mai 2024","1.081"
"Luna iunie 2024","1.0763"
"Luna iulie 2024","1.0847"
"Luna august 2024","1.102"
"Luna septembrie 2024","1.1104"
"Luna octombrie 2024","1.0894"
"Luna noiembrie 2024","1.0621"
"Luna decembrie 2024","1.0472"
"Luna ianuarie 2025","1.0356"
"Luna februarie 2025","1.0413"
"Luna martie 2025","1.0813"
"Luna aprilie 2025","1.1232"
"Luna mai 2025","1.1274"
"Luna iunie 2025","1.1534"
"Luna iulie 2025","1.1671"
"Luna august 2025","1.1647"
"Luna septembrie 2025","1.1739"
"Luna octombrie 2025","1.1641"
"Luna noiembrie 2025","1.1558"
"Luna decembrie 2025","1.171"
"Luna ianuarie 2026","1.1744"
"Luna februarie 2026","1.1824"
"Luna martie 2026","1.1557"
"Luna aprilie 2026","1.1697"
"Luna mai 2026","1.1725"
