"Luni","Pret","Variatie_procentuala","Variatie_absoluta","Curs_USD_EUR"
"Luna octombrie 2007","94.53","15.76","12.87","1.4233"
"Luna noiembrie 2007","88.71","-6.157","-5.82","1.4683"
"Luna decembrie 2007","95.98","8.195","7.27","1.4559"
"Luna ianuarie 2008","91.75","-4.407","-4.23","1.4728"
"Luna februarie 2008","101.84","10.997","10.09","1.4759"
"Luna martie 2008","101.58","-0.255","-0.26","1.552"
"Luna aprilie 2008","113.46","11.695","11.88","1.5754"
"Luna mai 2008","127.35","12.242","13.89","1.5554"
"Luna iunie 2008","140","9.933","12.65","1.5562"
"Luna iulie 2008","124.08","-11.371","-15.92","1.5759"
"Luna august 2008","115.46","-6.947","-8.62","1.4955"
"Luna septembrie 2008","100.64","-12.836","-14.82","1.4342"
"Luna octombrie 2008","67.81","-32.621","-32.83","1.3266"
"Luna noiembrie 2008","54.43","-19.732","-13.38","1.2744"
"Luna decembrie 2008","44.6","-18.06","-9.83","1.3511"
"Luna ianuarie 2009","41.68","-6.547","-2.92","1.3244"
"Luna februarie 2009","44.76","7.39","3.08","1.2797"
"Luna martie 2009","49.66","10.947","4.9","1.305"
"Luna aprilie 2009","51.12","2.94","1.46","1.3199"
"Luna mai 2009","66.31","29.714","15.19","1.3646"
"Luna iunie 2009","69.89","5.399","3.58","1.4014"
"Luna iulie 2009","69.45","-0.63","-0.44","1.4092"
"Luna august 2009","69.96","0.734","0.51","1.4266"
"Luna septembrie 2009","70.61","0.929","0.65","1.4575"
"Luna octombrie 2009","77","9.05","6.39","1.4821"
"Luna noiembrie 2009","77.28","0.364","0.28","1.4908"
"Luna decembrie 2009","79.36","2.692","2.08","1.4579"
"Luna ianuarie 2010","72.89","-8.153","-6.47","1.4266"
"Luna februarie 2010","79.66","9.288","6.77","1.368"
"Luna martie 2010","83.76","5.147","4.1","1.357"
"Luna aprilie 2010","86.15","2.853","2.39","1.3417"
"Luna mai 2010","73.97","-14.138","-12.18","1.2563"
"Luna iunie 2010","75.63","2.244","1.66","1.2223"
"Luna iulie 2010","78.95","4.39","3.32","1.2811"
"Luna august 2010","71.92","-8.904","-7.03","1.2903"
"Luna septembrie 2010","79.97","11.193","8.05","1.3103"
"Luna octombrie 2010","81.43","1.826","1.46","1.3901"
"Luna noiembrie 2010","84.11","3.291","2.68","1.3654"
"Luna decembrie 2010","91.38","8.643","7.27","1.3221"
"Luna ianuarie 2011","92.19","0.886","0.81","1.3371"
"Luna februarie 2011","96.97","5.185","4.78","1.3656"
"Luna martie 2011","106.72","10.055","9.75","1.402"
"Luna aprilie 2011","113.93","6.756","7.21","1.446"
"Luna mai 2011","102.7","-9.857","-11.23","1.4335"
"Luna iunie 2011","95.42","-7.089","-7.28","1.4403"
"Luna iulie 2011","95.7","0.293","0.28","1.4275"
"Luna august 2011","88.81","-7.2","-6.89","1.4333"
"Luna septembrie 2011","79.2","-10.821","-9.61","1.3747"
"Luna octombrie 2011","93.19","17.664","13.99","1.3732"
"Luna noiembrie 2011","100.36","7.694","7.17","1.3558"
"Luna decembrie 2011","98.83","-1.525","-1.53","1.3155"
"Luna ianuarie 2012","98.48","-0.354","-0.35","1.291"
"Luna februarie 2012","107.07","8.723","8.59","1.3238"
"Luna martie 2012","103.02","-3.783","-4.05","1.3207"
"Luna aprilie 2012","104.87","1.796","1.85","1.316"
"Luna mai 2012","86.53","-17.488","-18.34","1.2806"
"Luna iunie 2012","84.96","-1.814","-1.57","1.2541"
"Luna iulie 2012","88.06","3.649","3.1","1.2278"
"Luna august 2012","96.47","9.55","8.41","1.2406"
"Luna septembrie 2012","92.19","-4.437","-4.28","1.2885"
"Luna octombrie 2012","86.24","-6.454","-5.95","1.2974"
"Luna noiembrie 2012","88.91","3.096","2.67","1.2837"
"Luna decembrie 2012","91.82","3.273","2.91","1.3119"
"Luna ianuarie 2013","97.49","6.175","5.67","1.3304"
"Luna februarie 2013","92.05","-5.58","-5.44","1.3347"
"Luna martie 2013","97.23","5.627","5.18","1.2953"
"Luna aprilie 2013","93.46","-3.877","-3.77","1.3025"
"Luna mai 2013","91.97","-1.594","-1.49","1.2983"
"Luna iunie 2013","96.56","4.991","4.59","1.3197"
"Luna iulie 2013","105.03","8.772","8.47","1.3088"
"Luna august 2013","107.65","2.495","2.62","1.3314"
"Luna septembrie 2013","102.33","-4.942","-5.32","1.3364"
"Luna octombrie 2013","96.38","-5.815","-5.95","1.3646"
"Luna noiembrie 2013","92.72","-3.797","-3.66","1.3491"
"Luna decembrie 2013","98.42","6.148","5.7","1.3708"
"Luna ianuarie 2014","97.49","-0.945","-0.93","1.3618"
"Luna februarie 2014","102.59","5.231","5.1","1.3665"
"Luna martie 2014","101.58","-0.985","-1.01","1.3828"
"Luna aprilie 2014","99.74","-1.811","-1.84","1.381"
"Luna mai 2014","102.71","2.978","2.97","1.3739"
"Luna iunie 2014","105.37","2.59","2.66","1.3595"
"Luna iulie 2014","98.17","-6.833","-7.2","1.3533"
"Luna august 2014","95.96","-2.251","-2.21","1.3315"
"Luna septembrie 2014","91.16","-5.002","-4.8","1.2889"
"Luna octombrie 2014","80.54","-11.65","-10.62","1.2677"
"Luna noiembrie 2014","66.15","-17.867","-14.39","1.2472"
"Luna decembrie 2014","53.27","-19.471","-12.88","1.2329"
"Luna ianuarie 2015","48.24","-9.442","-5.03","1.1615"
